scope,variant,sample_count,fake_recall,mean_fake_prob,mean_probability_delta,recall_retention
all,original,2250,0.98,0.8865330638438463,0.0,1.0
all,jpeg75,2250,0.19377777777777777,0.272240505973912,-0.6142925578699344,0.19773242630385487
all,jpeg50,2250,0.12,0.18739629930340582,-0.6991367645404405,0.12244897959183673
all,resize50,2250,0.9906666666666667,0.9089327034254869,0.02239963958164056,1.0108843537414967
all,screenshot,2250,0.5568888888888889,0.548184443494098,-0.3383486203497483,0.5682539682539682
